GHI (kWh/m²/day),DNI (kWh/m²/day),DHI (% of GHI),Snowfall (mm/year),Quarter1-Cloud cover,Quarter1-Sunshine duration,Quarter1-Ambient temperature,Quarter1-Relative humidity,Quarter1-Precipitation,Quarter2-Cloud cover,Quarter2-Sunshine duration,Quarter2-Ambient temperature,Quarter2-Relative humidity,Quarter2-Precipitation,Quarter3-Cloud cover,Quarter3-Sunshine duration,Quarter3-Ambient temperature,Quarter3-Relative humidity,Quarter3-Precipitation,Quarter4-Cloud cover,Quarter4-Sunshine duration,Quarter4-Ambient temperature,Quarter4-Relative humidity,Quarter4-Precipitation,YearlyCloud cover,Sunshine duration,Ambient temperature,Relative humidity,Precipitation,Label (Yes/No)
4.47,4.53,18.4,31.8,48.26,10.73,29.48,29.3,341.07,43.11,6.98,32.42,33.61,30.33,36.27,9.92,16.9,35.94,372.31,37.14,10.38,19.26,23.94,103.84,41.2,9.5,24.52,30.7,847.55,Yes
5.011,5.236,18.57,98.6,38.31,8.69,15.24,46.02,368.97,30.92,7.09,15.44,37.74,344.34,49.86,11.67,29.59,47.91,221.51,31.56,10.24,23.38,53.46,45.6,37.66,9.42,20.91,46.28,980.42,Yes
2.55,3.774,33.2,139.0,81.7,0.58,13.66,82.71,580.33,99.58,1.33,13.79,73.97,602.86,86.38,2.89,7.29,88.63,577.18,58.56,2.43,16.76,99.48,693.48,81.55,1.81,12.88,86.2,2453.85,No
4.878,6.093,15.67,94.2,49.45,6.53,20.83,38.62,291.15,33.84,9.87,30.15,25.9,312.45,38.22,9.46,32.79,55.02,75.64,27.19,8.96,16.1,67.73,48.22,37.18,8.7,24.97,46.82,727.46,Yes
2.152,1.649,55.97,291.5,86.87,0.09,19.41,79.77,386.37,88.78,3.08,11.66,94.17,542.6,50.17,5.67,7.78,94.92,681.16,58.12,2.84,-2.99,80.64,649.12,70.98,2.92,8.96,87.38,2259.25,No
3.687,3.261,49.06,122.7,55.49,4.88,6.65,80.67,429.49,59.76,4.65,8.09,83.47,431.88,83.9,4.37,13.08,93.54,464.96,84.6,4.38,43.43,76.97,410.14,70.94,4.57,17.81,83.66,1736.47,No
3.944,3.566,50.5,175.6,88.47,2.09,21.53,88.27,603.51,86.33,3.97,-1.58,83.72,624.01,64.8,1.88,1.23,82.56,745.06,64.27,3.19,32.16,70.4,712.66,75.97,2.78,13.34,81.24,2685.24,No
4.131,6.131,16.98,87.4,24.1,10.34,21.38,65.3,47.49,17.14,8.96,16.64,29.8,353.91,49.06,8.26,33.47,47.24,101.15,38.1,9.95,34.78,33.25,252.02,32.1,9.38,26.57,43.9,754.57,Yes
6.097,4.029,22.04,97.0,27.51,7.41,29.1,60.86,204.91,48.68,6.31,25.1,55.92,323.49,17.17,10.8,26.05,39.83,49.39,44.61,6.94,21.2,34.5,326.78,34.49,7.86,25.36,47.78,904.57,Yes
2.802,3.095,34.74,425.7,81.21,5.17,3.0,81.42,417.38,60.78,2.37,39.73,86.71,498.89,87.34,0.12,13.5,88.02,593.71,80.38,1.27,11.85,97.95,740.24,77.43,2.23,17.02,88.52,2250.22,No
4.227,4.657,23.75,12.9,38.8,6.61,27.46,37.8,295.84,19.35,9.84,19.71,55.68,327.63,15.07,11.2,26.87,26.36,160.33,16.43,10.2,30.18,25.29,189.8,22.41,9.46,26.06,36.28,973.6,Yes
4.065,4.382,21.27,7.4,17.59,8.03,16.56,29.58,341.73,10.77,9.92,22.69,53.63,220.76,18.94,11.08,24.84,61.13,152.25,49.39,10.62,34.32,45.72,177.63,24.17,9.91,24.6,47.52,892.37,Yes
3.705,2.027,30.62,450.1,68.06,2.61,6.05,82.76,461.74,83.3,2.99,34.4,79.38,564.6,62.98,5.61,21.1,75.2,477.29,54.15,0.17,21.3,80.11,736.42,67.12,2.84,20.71,79.36,2240.05,No
4.974,5.296,18.25,62.3,13.72,9.73,20.51,20.88,207.26,33.14,8.56,16.45,64.67,229.29,14.63,9.07,24.95,23.02,227.57,42.33,10.49,19.06,63.11,128.45,25.96,9.46,20.24,42.92,792.57,Yes
5.384,4.906,18.65,87.9,11.57,11.93,28.29,54.06,14.25,34.22,8.91,17.12,33.9,333.87,32.0,8.48,16.45,55.71,263.57,34.56,9.06,23.68,49.66,87.52,28.09,9.6,21.38,48.33,699.21,Yes
5.715,4.056,15.54,53.3,17.64,9.8,26.04,49.29,113.42,35.59,10.98,34.96,61.92,209.06,17.74,10.09,33.75,30.59,96.0,15.96,10.42,23.13,23.13,328.11,21.73,10.32,29.47,41.23,746.59,Yes
4.865,6.439,21.41,82.2,15.3,11.17,33.46,44.35,227.34,40.59,7.05,25.05,39.93,54.89,24.7,6.41,15.52,26.76,361.17,31.98,11.79,23.65,35.59,189.8,28.14,9.1,24.42,36.66,833.2,Yes
1.887,2.407,25.73,401.2,89.78,2.47,44.23,90.37,653.9,59.62,5.02,42.25,77.09,632.42,87.35,1.83,18.75,72.93,439.91,53.08,3.36,26.26,97.48,578.32,72.46,3.17,32.87,84.47,2304.55,No
3.882,1.713,53.56,456.8,68.89,1.76,28.87,91.08,667.49,91.53,1.61,29.35,74.05,566.52,80.64,0.97,-1.17,75.84,532.72,94.39,3.19,32.42,75.22,414.74,83.86,1.88,22.37,79.05,2181.47,No
5.536,6.231,15.79,33.1,19.93,11.93,22.79,56.63,256.77,18.48,7.43,20.63,40.56,87.87,10.79,11.28,34.31,37.08,126.94,10.28,10.08,31.51,27.33,59.87,14.87,10.18,27.31,40.4,531.45,Yes
1.923,3.173,38.12,349.4,99.87,5.92,12.69,85.12,714.26,54.61,2.71,13.88,78.85,747.83,86.68,2.33,36.45,84.69,702.31,63.32,1.34,7.36,86.15,484.24,76.12,3.08,17.6,83.7,2648.64,No
5.442,4.298,15.36,5.3,43.37,6.71,15.9,41.89,316.5,20.5,8.53,15.8,42.45,216.6,32.84,7.99,21.31,25.33,137.55,13.98,10.6,34.33,68.5,324.4,27.67,8.46,21.84,44.54,995.05,Yes
4.243,5.488,24.99,94.4,10.11,10.77,22.07,23.18,110.99,22.87,9.14,28.22,57.45,92.21,22.87,7.85,22.25,69.98,291.73,49.0,10.16,23.13,39.49,183.22,26.21,9.48,23.92,47.53,678.15,Yes
2.925,2.158,41.25,349.9,93.46,0.02,5.71,72.89,411.41,97.29,5.62,32.47,89.29,692.99,52.92,0.72,10.86,94.97,552.09,75.18,1.38,27.42,96.64,498.57,79.71,1.93,19.12,88.45,2155.06,No
2.315,1.681,49.62,254.4,66.34,0.76,6.33,76.98,744.45,91.77,0.09,25.84,77.68,414.14,85.28,0.79,17.19,88.96,582.94,98.88,4.71,33.71,80.67,378.15,85.57,1.59,20.77,81.07,2119.68,No
2.654,2.956,33.06,496.2,63.92,4.7,10.65,79.39,413.95,77.99,1.47,2.42,76.8,469.16,75.2,2.32,-1.23,86.08,670.41,78.71,5.85,-0.04,94.63,564.63,73.96,3.58,2.95,84.22,2118.15,No
1.655,2.636,35.06,209.8,61.12,2.0,12.66,79.26,742.03,96.64,3.45,44.05,99.74,508.48,72.26,5.75,25.43,76.39,633.52,60.29,2.04,6.38,77.35,376.75,72.58,3.31,22.13,83.18,2260.78,No
5.385,5.397,22.07,17.7,20.09,10.86,33.94,26.8,186.62,18.57,6.36,21.51,27.18,266.22,31.35,6.86,15.18,60.41,66.07,34.25,8.02,26.71,35.78,32.6,26.06,8.02,24.34,37.54,551.51,Yes
3.236,3.463,54.76,153.5,72.78,5.68,33.6,73.51,563.44,96.12,2.64,36.87,84.88,415.05,57.39,0.28,4.77,96.81,618.82,86.94,3.73,14.33,76.51,722.11,78.31,3.08,22.39,82.93,2319.42,No
6.319,5.572,22.9,17.2,18.48,9.19,18.53,51.75,109.37,41.66,10.85,24.28,29.04,242.54,49.71,9.74,15.72,20.86,120.14,17.83,10.88,31.9,32.93,122.12,31.92,10.17,22.61,33.64,594.17,Yes
3.034,3.149,46.48,312.5,58.6,2.01,29.66,82.76,527.3,87.96,0.03,28.95,84.68,516.29,67.03,1.04,11.71,81.74,539.04,83.62,2.72,34.81,89.19,446.1,74.3,1.45,26.28,84.59,2028.73,No
3.115,2.999,49.99,122.7,71.41,1.43,32.96,96.18,480.5,54.76,1.52,0.2,79.67,576.82,98.68,2.4,6.0,75.0,439.89,59.63,4.57,-1.95,99.92,571.01,71.12,2.48,9.3,87.69,2068.22,No
1.751,2.294,56.2,406.3,61.61,5.72,26.11,75.04,589.62,72.56,4.92,12.21,96.25,679.49,83.73,1.55,43.52,86.46,715.32,60.79,5.9,35.8,98.48,454.64,69.67,4.52,29.41,89.06,2439.07,No
1.629,2.924,29.07,291.7,86.0,0.99,32.77,71.81,431.11,64.01,4.78,37.51,76.61,410.92,92.4,3.9,2.89,86.73,702.14,53.48,0.5,8.68,89.57,441.75,73.97,2.54,20.46,81.18,1985.92,No
4.143,5.796,18.72,19.9,31.79,11.84,28.9,44.59,291.34,39.5,11.35,19.09,62.94,112.88,47.64,7.69,33.54,68.19,54.56,48.98,6.51,19.37,42.21,372.6,41.98,9.35,25.22,54.48,831.38,Yes
2.38,3.531,31.12,453.1,56.07,1.01,18.89,98.36,498.58,82.91,3.53,2.48,77.45,723.81,59.24,4.17,43.23,73.59,524.69,61.2,1.33,0.95,89.49,654.88,64.86,2.51,16.39,84.72,2401.96,No
5.519,4.738,16.37,65.2,39.54,7.89,27.9,39.76,267.45,17.97,11.34,20.75,38.39,21.78,14.46,9.1,20.35,61.77,5.51,25.16,8.02,15.39,26.22,155.12,24.28,9.09,21.1,41.54,449.86,Yes
2.993,2.391,40.17,269.0,81.62,3.43,16.11,70.51,607.86,93.98,4.62,44.08,74.17,458.45,76.96,1.42,-3.27,82.07,482.87,63.19,5.72,6.92,73.88,421.99,78.94,3.8,15.96,75.16,1971.17,No
3.719,3.685,55.19,256.3,52.85,0.64,8.8,76.6,702.74,99.32,4.9,31.49,87.66,663.72,97.35,3.61,2.73,74.92,593.95,66.67,5.46,25.58,90.29,377.18,79.05,3.65,17.15,82.37,2337.59,No
6.335,6.024,23.37,9.3,39.55,11.76,28.57,48.53,354.61,27.72,9.6,24.53,66.64,28.53,30.04,10.12,30.84,49.15,340.84,47.68,6.39,23.05,21.17,123.53,36.25,9.47,26.75,46.37,847.51,Yes
3.147,1.602,25.52,179.8,65.91,2.91,36.89,79.44,516.2,66.47,0.05,42.76,74.17,482.88,56.47,2.94,41.61,73.02,540.34,51.12,4.63,27.06,90.99,552.13,59.99,2.63,37.08,79.4,2091.55,No
3.542,2.023,36.7,365.7,78.06,2.77,39.99,76.59,653.03,57.95,3.69,38.53,83.74,646.61,91.02,0.82,30.29,97.6,591.14,59.31,0.76,7.99,73.11,567.52,71.58,2.01,29.2,82.76,2458.3,No
6.18,6.432,22.63,60.8,24.62,7.09,28.73,69.75,175.26,38.95,8.97,23.64,40.52,189.23,24.68,10.49,32.49,64.14,85.39,45.84,8.05,21.19,56.34,114.26,33.52,8.65,26.51,57.69,564.14,Yes
4.853,6.008,23.97,51.8,28.22,6.18,32.58,20.65,354.28,29.57,8.05,33.48,21.22,218.03,31.96,7.32,23.58,52.61,272.67,10.03,11.62,18.29,31.68,98.8,24.94,8.29,26.98,31.54,943.78,Yes
3.575,1.785,55.68,373.2,66.27,5.23,24.9,95.46,550.98,75.03,1.75,14.38,87.03,730.15,80.01,0.88,-4.65,95.53,511.62,65.75,4.8,42.27,92.44,440.19,71.76,3.16,19.23,92.62,2232.94,No
6.351,4.233,18.06,46.3,29.92,9.25,21.01,53.36,241.91,33.11,6.68,24.54,37.81,184.14,46.87,8.88,15.28,41.94,307.74,41.2,9.08,20.0,43.25,211.39,37.78,8.47,20.21,44.09,945.18,Yes
5.801,5.279,24.44,4.2,30.12,9.51,33.4,22.46,215.06,44.15,7.45,32.53,20.95,274.67,47.32,9.94,23.78,22.24,345.04,28.81,6.17,28.8,44.09,46.63,37.6,8.27,29.63,27.44,881.4,Yes
2.386,1.538,30.83,234.1,77.72,0.78,28.8,95.33,589.63,64.85,0.73,-4.22,91.95,610.68,73.81,0.61,5.35,94.46,554.94,98.14,6.0,35.04,77.75,461.67,78.63,2.03,16.24,89.87,2216.92,No
5.385,4.764,18.97,44.7,34.02,9.09,33.39,44.85,372.06,44.06,7.25,33.61,25.82,306.54,25.22,11.27,32.36,60.3,296.26,22.19,6.49,23.06,28.68,260.61,31.37,8.52,30.6,39.91,1235.47,Yes
4.905,4.786,22.12,16.2,10.52,9.58,33.85,50.47,293.6,36.91,8.98,29.37,61.21,84.27,23.45,7.34,24.04,64.25,129.45,24.98,11.16,25.31,46.77,322.8,23.96,9.26,28.14,55.68,830.12,Yes
1.897,2.477,35.41,339.7,68.08,4.23,20.61,97.58,409.13,84.39,4.03,42.53,81.15,489.54,58.62,1.59,20.09,95.13,481.61,57.89,1.63,0.05,97.8,702.23,67.24,2.87,20.82,92.92,2082.51,No
3.425,3.477,35.27,446.6,86.13,5.0,30.43,87.39,416.02,85.55,4.14,10.62,92.07,581.42,77.97,2.21,0.84,76.51,663.31,63.57,0.01,44.85,76.32,620.77,78.31,2.84,21.68,83.07,2281.52,No
1.871,1.723,51.06,195.4,92.37,4.46,-2.53,76.04,484.5,79.72,4.86,-1.98,77.49,516.08,59.17,3.27,18.9,79.49,568.83,67.79,2.06,8.27,86.21,541.54,74.76,3.66,5.66,79.81,2110.95,No
2.787,2.703,59.86,253.6,92.71,5.17,6.63,72.85,740.86,71.29,0.01,19.95,88.58,666.03,97.15,5.49,42.01,70.96,641.92,61.29,1.13,35.02,82.51,718.73,80.61,2.95,25.9,78.72,2767.54,No
3.558,3.829,49.03,498.6,66.75,4.98,28.69,79.7,639.25,75.48,1.13,3.69,91.4,641.97,76.54,3.01,4.0,82.88,701.77,92.74,3.97,44.87,96.8,429.46,77.88,3.27,20.31,87.7,2412.45,No
6.496,5.083,22.03,18.3,34.39,10.36,21.29,61.44,226.28,25.56,9.35,26.54,28.28,151.02,23.74,8.41,30.22,44.13,352.62,21.75,8.49,30.74,47.3,205.14,26.36,9.15,27.2,45.29,935.06,Yes
5.193,6.486,21.79,7.4,49.71,8.45,20.75,47.89,114.12,13.46,6.01,23.99,61.84,214.62,49.97,7.72,20.61,27.99,61.52,21.41,10.76,33.12,68.75,87.11,33.64,8.24,24.62,51.62,477.37,Yes
1.779,2.037,54.83,302.4,99.14,0.71,15.63,79.96,568.55,81.67,3.97,-4.94,72.67,388.15,93.23,1.88,13.35,83.51,693.49,50.71,0.71,29.26,98.92,616.04,81.19,1.82,13.32,83.76,2266.23,No
3.817,2.999,52.97,490.5,93.02,3.35,13.19,84.47,690.68,92.67,5.08,24.86,84.31,491.75,50.17,4.59,8.85,79.89,691.31,52.61,5.57,-4.93,98.18,545.53,72.12,4.65,10.49,86.71,2419.27,No
2.083,2.334,54.65,158.3,81.36,0.08,7.28,87.74,546.15,74.68,3.96,6.73,78.42,631.67,76.91,0.09,28.52,88.6,404.48,87.38,3.13,5.24,86.78,598.3,80.08,1.82,11.94,85.38,2180.6,No
5.906,5.479,16.92,66.7,34.94,9.61,24.8,46.43,125.42,30.77,7.19,31.1,29.29,31.86,27.45,9.95,23.75,33.84,209.31,23.88,11.6,33.45,45.12,122.96,29.26,9.59,28.28,38.67,489.55,Yes
4.811,6.363,17.83,46.1,36.85,6.97,24.73,56.93,325.07,35.05,10.01,17.53,67.29,49.72,40.99,7.59,33.67,56.0,282.68,18.76,8.66,27.36,58.5,38.98,32.91,8.31,25.82,59.68,696.45,Yes
2.175,3.124,42.36,206.7,59.44,5.74,23.06,88.13,668.59,54.06,4.28,3.26,92.21,428.0,91.62,4.09,14.29,80.77,430.86,95.2,0.71,18.6,77.1,748.62,75.08,3.7,14.8,84.55,2276.07,No
2.957,2.406,57.2,298.3,71.19,0.29,24.95,88.09,593.73,94.38,4.58,38.37,71.78,494.3,65.94,3.94,17.43,93.32,519.16,61.08,1.75,4.12,75.94,456.31,73.15,2.64,21.22,82.28,2063.5,No
5.158,4.81,21.09,87.6,45.35,6.65,23.57,43.24,366.61,37.12,8.44,15.52,48.27,36.03,43.38,10.52,24.21,41.46,336.5,21.54,7.49,33.78,60.46,307.73,36.85,8.28,24.27,48.36,1046.87,Yes
2.354,3.624,59.71,239.5,56.47,0.87,32.94,74.35,472.66,60.22,2.13,-1.28,95.7,697.55,70.65,3.67,27.1,92.48,570.26,75.52,3.79,30.15,80.4,498.89,65.72,2.62,22.23,85.73,2239.36,No
2.638,3.365,56.21,334.1,86.16,2.18,19.81,91.89,647.87,71.23,3.26,41.19,88.96,615.97,89.23,0.69,21.14,98.78,510.62,64.75,3.61,6.06,86.68,433.37,77.84,2.43,22.05,91.58,2207.83,No
2.578,3.226,27.95,384.2,96.31,4.58,4.58,72.62,558.89,97.82,4.91,23.14,74.29,642.69,90.65,5.61,25.61,85.43,607.19,97.16,3.77,7.88,89.08,704.9,95.48,4.72,15.3,80.36,2513.67,No
4.73,6.302,24.15,39.2,27.37,10.21,28.26,39.11,155.34,23.92,7.41,24.16,54.32,278.24,41.15,8.25,30.29,20.33,178.89,41.76,9.78,24.48,52.23,340.1,33.55,8.91,26.8,41.5,952.57,Yes
5.152,4.116,17.94,58.7,22.38,10.11,31.44,41.02,337.55,13.19,11.04,31.57,36.1,112.02,22.2,10.87,31.63,36.49,222.22,15.56,8.81,34.98,27.94,355.34,18.33,10.21,32.4,35.39,1027.13,Yes
6.185,4.898,15.45,84.6,46.45,10.92,17.56,69.9,96.97,38.97,11.45,19.71,65.41,116.06,49.06,7.69,34.07,22.68,265.98,31.28,8.87,19.47,55.28,71.55,41.44,9.73,22.7,53.32,550.56,Yes
1.904,1.777,48.74,185.5,83.35,5.17,27.6,73.58,590.09,69.68,2.06,10.93,97.88,653.44,56.69,2.86,10.91,99.34,741.76,65.98,2.11,24.97,84.38,454.91,68.92,3.05,18.6,88.79,2440.2,No
5.572,4.665,15.39,45.6,45.64,9.42,31.65,69.58,61.36,37.67,10.05,34.6,69.28,257.5,19.74,10.79,17.14,59.03,341.32,25.31,9.78,23.6,41.89,116.39,32.09,10.01,26.75,59.95,776.57,Yes
5.956,4.144,19.78,63.8,37.47,6.35,23.37,49.19,24.77,15.4,9.98,25.43,28.09,200.71,46.51,6.09,27.85,23.68,2.42,16.03,8.54,31.05,34.09,234.63,28.85,7.74,26.92,33.76,462.53,Yes
6.047,4.501,20.79,46.7,26.79,11.34,23.75,23.77,354.99,46.82,10.11,24.36,24.64,296.53,13.02,6.41,25.75,28.01,2.9,26.92,6.82,18.21,23.85,76.91,28.39,8.67,23.02,25.07,731.33,Yes
5.958,4.42,20.12,48.7,35.0,11.68,26.6,47.01,18.87,12.52,7.12,15.65,57.17,271.25,15.44,11.02,18.1,35.06,93.37,24.89,7.53,24.78,40.37,369.96,21.96,9.34,21.28,44.9,753.45,Yes
4.343,5.346,16.46,55.3,35.95,8.34,24.97,63.78,40.71,41.67,7.02,15.73,29.28,286.89,26.21,11.24,25.49,21.11,268.77,14.41,10.74,18.36,37.27,285.48,29.56,9.34,21.14,37.86,881.85,Yes
4.686,4.081,23.21,27.6,41.86,7.73,18.89,68.7,135.62,34.06,9.66,26.21,65.73,252.92,26.15,11.17,18.62,47.21,356.46,35.02,10.9,28.07,61.97,354.18,34.27,9.86,22.95,60.9,1099.18,Yes
