Slope,Elevation,TurbulenceIntensity,Quarter1-AirTemperature,Quarter1-RelativeHumidity,Quarter1-Precipitation,Quarter1-WindSpeed,Quarter1-WindGustSpeed,Quarter1-AirPressure,Quarter2-AirTemperature,Quarter2-RelativeHumidity,Quarter2-Precipitation,Quarter2-WindSpeed,Quarter2-WindGustSpeed,Quarter2-AirPressure,Quarter3-AirTemperature,Quarter3-RelativeHumidity,Quarter3-Precipitation,Quarter3-WindSpeed,Quarter3-WindGustSpeed,Quarter3-AirPressure,Quarter4-AirTemperature,Quarter4-RelativeHumidity,Quarter4-Precipitation,Quarter4-WindSpeed,Quarter4-WindGustSpeed,Quarter4-AirPressure,Yearly-AirTemperature,Yearly-RelativeHumidity,Yearly-Precipitation,Yearly-WindSpeed,Yearly-WindGustSpeed,Yearly-AirPressure,Label
23.53,2365.17,36,14.01,73.29,4.3,4.42,75.49,980.45,23.21,34.63,12.54,7.79,87,958.7,36.45,6.56,904.81,7.84,89.38,995.46,-17.64,39.75,372.4,5.69,57.56,1043.12,-1.35,1.48,156.68,6.71,73.8,969.07,Yes
9.48,754.76,14.06,48.32,108.47,2468.99,2.95,39.81,942.21,43.13,97.02,2647.01,2.19,44.63,947.86,46.25,144.86,2121.33,0.73,34.13,941.35,-36.59,107.3,2209.68,0.52,41,946.52,43.39,160.95,2049.36,0.36,31.78,1056.04,No
0.49,506.29,15.85,-34.21,162.72,2822.35,0.6,2.39,1058.79,-34.31,153,2884.79,0.7,15.38,1053.12,43.59,140.52,2869.77,3.08,16.45,946.63,44.17,129.73,3565.67,3.07,23.92,948.55,-36.23,114,3667.28,0.6,5.46,943.55,No
24.98,2075.86,33.62,19.99,79,1694.28,5.29,89.51,1001.25,-28.56,0.27,476.67,7.15,65.18,1042.32,27.72,63.28,1815.02,4.78,86.16,1046.79,33.18,73.02,125.22,7.21,62.73,963.05,11.91,39.91,1390.6,7.51,89.22,951.2,Yes
16.17,1619.73,24.35,-28.79,73.56,1191.36,4,55.92,971.17,19.42,64.18,1453.04,7.95,61.12,1042.14,25.63,63.72,686.31,7.98,73.2,1027.94,12.84,6.47,29.33,7.12,66.91,1001.44,-3.96,23.77,1811.46,7.98,92.03,979.18,Yes
17.25,2874.4,20.46,20.3,70.29,23.5,6.95,97.37,982.56,-12.46,86.21,1672.43,5.33,86.3,1022.21,23.97,50.09,1741.5,6.75,54.8,989.98,-17.48,87.94,1523.61,5.47,94.9,969.55,39.24,84.17,1943.15,4.31,96.62,981.52,Yes
26.16,2972.07,34.7,-0.7,23.18,1746.58,5.52,83.7,1044.11,25.89,20.12,1000.74,4.88,50.7,987.55,-22.55,77.47,907.94,7.02,94.55,1042.82,32.52,61.92,540.38,4.99,86.32,1009.3,-28.66,87.87,13.81,4.63,75.43,952.91,Yes
16.6,1765.58,25.15,15.12,87.15,679.13,4.38,66.83,1006.44,15.36,55.29,1603.45,6.99,98.09,952.55,0.01,54.67,48.86,5.54,58.83,967.81,14.55,21.76,1085.14,4.35,81.56,1040.53,22.43,84.48,25.56,5.32,88.02,1034.1,Yes
8.73,372.26,8.58,-37.66,142.93,2599.69,0.1,49.25,946.7,45.51,108.59,3886.41,1.13,32.92,946.43,-37.58,142.34,2951.01,0.84,16.6,1054.97,-37.37,112.62,2054.76,1.05,9.74,1053.59,46.28,159.7,3880.18,1.78,8.63,1057.45,No
10.26,1046.82,8.76,-31.99,105.13,3805.31,2.14,32.12,1059.84,-39.32,156.34,3972.93,2.73,19.2,943.05,-31.31,118.12,3187.32,0.26,30.21,945.09,44.16,91.71,3382.28,0.4,9.85,1055.86,47.11,159.97,2812.37,3.46,17.17,1056.67,No
21.69,2912.85,29.46,37.65,87.46,1090.28,5.42,70.47,991.25,-14.6,9.8,1939.7,5.8,96.89,993.39,-15.77,39.71,348.63,7.9,99.97,993.02,21.38,79.72,531.72,4.17,79.49,1014.95,-20.87,80.03,504.5,6.75,70.42,962.46,Yes
3.05,1400.29,15.53,-34.61,99.66,2244.92,1.14,11.33,943.19,48.59,165.28,2132.9,1.13,47.57,1055.82,-34.26,125.86,2965.5,1.25,37.32,944.79,-36.31,119.22,3319.42,0.51,12.52,1053.52,-39.12,114.18,2480.53,1.88,33.07,1056.94,No
13.56,488.66,17.33,-32.1,176.78,2181.46,0.19,37.7,948.41,-33.22,159.74,2743.7,0.7,22.24,946.34,45.36,103.16,2988.25,1.76,5.75,1056.48,-34.43,110.3,3281.13,1.15,0.72,947.87,45.34,97.89,2030.94,2.47,48.28,948.4,No
11.07,1140.07,10.89,-39.38,107.32,2067.77,3.41,25.63,1051.41,43.4,143.78,2432.8,2.96,36.22,942.79,45.76,112.45,3099.78,1.11,6.52,943.9,48.59,167.26,2410.42,1.02,27.01,1058.59,48.08,152.97,2763.24,2.51,26.06,1052.46,No
13.92,915.96,8.66,-39.07,151.87,2379.26,1.07,40.35,1053.96,49.93,120.02,2197.76,1.55,27.49,1051.74,-31.12,143.12,3651.92,0.05,16.21,1054.02,42.39,157.13,2965.16,1.18,0.01,1058.26,-37.3,156.62,2629.58,2.89,42.63,941.65,No
17.25,2741.51,37.33,9.62,22.81,377.92,5.94,79.5,963.72,24.81,64.54,1582.07,7.39,93.02,968.39,30.33,9.81,1133.37,6.89,97.27,1027.68,1.31,61.7,918.18,6.37,91.68,951.41,7.11,78,1636.11,5.17,63.73,1025.95,Yes
3.19,397.64,17.8,-38.04,134.93,2968.87,2.65,33.23,943,-31.84,92.83,3887.11,1.9,49.29,1058.8,-31.74,126.83,2521.98,1.33,24.54,944.6,46.24,125.14,2939.07,0.85,34.17,1051.14,41.61,174.58,3091.74,2.88,26.92,946.09,No
26.58,2471.95,33.11,32.75,79.22,1647.24,6.08,78.83,1019.34,1.26,17.04,1962.83,7.52,95.56,979.93,29.44,50.69,1806.75,4.7,95.08,994.86,24.71,85.35,802.81,4.09,55.34,1038.59,6.07,5.83,1842.93,7.9,60.51,1017.52,Yes
24.15,2897.49,29.34,-26.78,13.25,107.49,7.74,55.1,963.75,4.52,79.54,1756.39,4.51,80.48,950.45,-2.37,9.3,385.57,7.22,90.27,971.77,-16.26,47.04,643.46,5.5,62.1,989.3,2.66,43.17,1219.24,4.93,99.48,1020.61,Yes
20.54,1845.95,24.57,-25.89,67.04,1231.65,7.46,68.58,968.88,2.7,39.3,987.94,7.53,96.54,959.88,28.74,11.04,809.48,5.49,78.95,1038.33,35.27,10.62,1309.58,5.59,50.52,984.84,35,62.03,897.02,6.97,89.56,975.8,Yes
22.39,1728.1,23.93,-15.36,3,1579.84,6.85,68.66,998.39,-26.45,66.96,614.03,6.6,68.1,1002.87,23,87,1789.17,4.82,91.08,998.4,-27.3,71.06,1301.77,5.47,98.78,988.36,-29.03,8.95,1273.22,4.83,73.56,1033.93,Yes
15.6,1933.11,37.21,17.45,49.49,1171.91,7.83,63.31,1022.87,-0.49,20.02,180.52,4.79,76.96,1040.07,-0.89,73.69,607.33,5.37,93.47,979.12,3.74,89.98,287.22,4.24,60.69,1046.59,35.5,13.29,223.91,5.81,51.36,968.75,Yes
15.91,2202.05,22.42,-11.47,64.53,1948.43,5.98,91.62,1009.08,19.28,64.34,902.89,5.26,75.34,1048.88,-29.47,11.99,1395.94,7.92,86.65,960.31,-10.18,37.76,8.11,7.86,97.42,967.83,21,85.5,1874.65,5.19,66.5,1020.15,Yes
20.22,2560.7,30.28,4.21,54.15,782.3,4.08,96.94,985.91,-10.95,54.72,734.35,7.74,81.43,1031.09,-10.56,78.65,755.8,7.2,97.94,1011.42,28.87,46.65,777.05,7.06,79.96,1015.48,-17.88,66.74,737.53,6.49,77.59,998.84,Yes
10.98,183.68,14.18,-37.14,94.66,3813.13,2.76,40.34,943.11,-33.28,98.15,3747.43,1.82,40.16,944.69,-31.43,128.31,3214.92,2.44,30.42,1059.78,41.19,163.22,2422.92,3.26,1.33,946.84,49.14,145.91,3345.63,1.83,44.67,940.07,No
27.43,2088.75,24.48,-25.76,30.56,3.99,5.04,77.03,995.49,-26.33,27.22,1650.31,7.66,86.9,969.8,17.25,17.29,553.72,7.63,91.09,1048.67,17.23,11.46,1669.42,4.25,90.79,1040.56,16.61,17.4,1765.83,4.37,89.89,993.45,Yes
0.07,885.51,6.06,-36.03,141.45,3691.76,1.14,7.66,941.82,41.57,144,3094.21,1.01,23.55,948.91,-31.45,115.65,3255.17,0.26,24.65,1054.35,-37.31,117.99,2361.72,2.32,25.52,946.24,45.93,134.78,2952.2,0.43,11.97,943.57,No
11.44,1029.46,1.52,45.62,162.62,2714.09,0.99,6.1,1052.41,46.48,109.86,2265.01,2.3,11.15,1055.3,-35.06,173.53,3921.19,2.61,21.65,948.68,45.88,98.27,2634.07,3.43,41.03,940.96,47.69,170.36,3903.97,0.79,39.46,946.57,No
8.19,1253.42,19.24,46.61,178.32,2264.94,1.09,47.29,1057.08,-35.54,96.38,2089.5,1.7,42.77,1052.52,43.57,112.96,2398.22,0.65,32.87,1055.3,-35.87,178.74,2737.33,0.53,15.08,1055.68,48.42,152.83,3836.13,1.17,31.52,943.47,No
22.64,2865.73,36.11,-2.45,68.4,1703.48,4.75,55.75,1032.15,14.58,57.59,428.36,4.58,63.87,963.95,38.27,26.04,863.98,5.77,85.86,972.52,29.24,3.63,954.52,5.06,96.76,1001.45,-13.06,85.3,1246.52,6.98,66.69,962.19,Yes
17.03,1912.91,22.16,13.05,12.13,1163.65,7.83,88.04,990.84,-12.11,66.08,1032.69,5.36,61.67,989.57,22.88,61.03,1314.26,5.08,61.83,1048.9,0.45,65.47,1865.66,4.41,55.72,993.74,38.18,14.4,1982.31,7.06,83.75,1018.17,Yes
5.04,1468.92,4.77,46.44,165.08,2310.02,2.58,9.11,943.35,-39.1,128.69,3889.68,3.31,8.91,945.17,-35.84,156.01,3383.89,2.54,47.81,1058.76,47.31,112.72,3854.19,0.17,4.41,1053.33,41.09,111.31,3791.11,0.58,46.7,1056.05,No
22.92,1825.24,26.04,-9,81.21,1579.74,5.64,72.52,1003.33,-23.13,13.06,879.47,7.22,97.64,1048.58,-12.15,62.16,336.29,4.2,79.41,994.15,27.14,59.36,658.57,7.2,65.73,1037.46,22.08,86.24,452.44,5.01,80.58,1032.54,Yes
20.9,1884.44,34.07,-6.84,85.22,754.11,6.1,65.53,989.98,26.44,88.37,590.53,6.43,69.19,994.52,-20.2,23.47,499.77,6.33,50.17,993.96,15.71,26.89,415.89,6.75,98.18,998.23,-22.07,36.4,1993.42,6.55,75.73,962.76,Yes
2.08,431.31,13.3,45.24,133.81,3822.18,0.75,46.45,941.29,41.74,138.67,3248.05,1.26,18.08,1056.21,49.7,134.08,2397.48,2.18,37.37,1055.01,45.95,143.05,3737.34,0.26,15,1056.14,43.71,104.8,3938.85,2.8,37.49,1056.3,No
23.73,2878.5,21.33,19.01,76.59,1124.59,5.44,83.18,1043.36,-24.76,77.73,1304.92,6.79,62.09,1048.92,9.05,74.75,866.68,5.99,93.67,969.01,-19.56,6.12,1820.76,4.44,51.14,1037.9,29.42,51.55,1092.53,7.47,99.96,985.95,Yes
20.87,1795.97,20.23,21.55,46.12,946.45,6.7,63.07,962.88,-20.93,30.09,189.81,5.78,61.71,1031.3,22.48,33.1,112.76,7.48,53.1,995.68,-8.69,39.58,1778.5,7.1,56.39,998.05,7.88,71.39,109.02,5.32,85.67,1006.01,Yes
26.08,2287,30.94,6.06,25.43,192.3,4.55,51.92,1024.68,5.81,20.38,670.79,5.92,78.94,992.41,-28.47,76.03,750.67,4.88,82.95,1043.75,-21.84,5.61,366.33,5.13,60.2,1015.17,-7.07,76.62,1690.45,5.6,89.33,976.45,Yes
17.23,2756.16,25.37,-19.76,71.76,1733.56,6.01,87.94,1005.88,-5.32,54.05,162.45,4.2,55.41,1033.76,-28.05,39.99,1366.97,6.25,63.54,956.57,-18.77,88.1,1086.61,4.6,88.46,1033.52,23.9,23.6,915.83,4.59,62.22,981.32,Yes
4.24,18.42,9.62,-34.79,138.12,3702.64,1.33,43.71,942.58,49.26,125.63,2760.8,1.68,12.96,943.96,-34.51,99.1,2259.12,0.58,10.54,948.29,46.72,138.17,3303.2,2.84,22.44,944.17,47.12,127.88,2695.59,2.63,29.08,1051.64,No
3.71,1070.53,9.87,-34.05,169.39,3535.09,1.7,45.99,1054.8,-39.6,92.41,3261.46,0.08,12.26,1053.22,45.09,157.62,3658.86,0.93,7.45,1059.62,-38.17,152.37,3157.03,2.93,6.89,1059.71,-33.17,144.28,2186.73,1.92,20.6,1055.44,No
19.68,2260.58,35.66,15.28,17.2,97.22,6.1,66.01,978.22,-19.45,11.09,1410.01,7.99,54.54,971.36,29.01,12.73,1837.44,5.42,60.06,951.34,39.28,31.98,681.39,4.91,55.81,1047.21,26.85,71.77,274.01,7.51,59.38,1041.49,Yes
3.51,679.93,9.56,45.99,124.31,2925.06,1.19,39.49,1053.05,43.84,99.85,3440.8,3.03,24.12,945.07,-34.77,138.05,3019.17,1.21,36.54,1055.65,43.21,124.41,3325.34,0.89,17.63,1055.64,41.42,167.95,3278.35,2.8,27.37,948.13,No
27.76,2743.68,20.25,-23.76,1.4,880.18,7.47,88.82,963.13,-0.29,29.75,1292.82,4.71,70.78,1036.26,17.66,50.85,1921.21,4.7,95.76,1037.57,9.38,14.95,241.6,6.38,83.49,977.17,0.35,87.43,1493.57,7.2,78.28,1048.96,Yes
16.71,2918.41,20.05,21.47,10.79,64.7,7.86,91.84,1023.55,13.1,75.42,220.1,4.18,51.51,970.55,4.49,23.21,1336.31,4.32,76.17,988.54,-18.84,68.14,1352.6,6.67,51.59,1010.91,-28.13,28.64,85.74,4.04,57.78,1013.79,Yes
1.99,1141.73,18.79,42.04,111.91,2086.51,3.15,23.39,942.36,45.01,156.4,3271.16,2.43,26.55,1058.85,-33.42,95.52,3750.15,1.21,16.17,1055.94,-37.21,172.47,3477.23,2.42,8.76,1051.48,48.5,102.04,3010.64,0.98,8.62,1053.93,No
2.31,1151.6,8.88,-32.58,168.9,3742.07,2.37,29.28,942.79,46.25,141.9,2517.03,0.69,10.23,1052.21,-32.8,166.06,2438.47,3.17,39.7,945.76,-32.64,178.76,3211.37,0.24,8.46,1051.2,48.2,148.35,2651.89,2.47,36.36,944.18,No
1.47,979.99,2.87,43.93,128.57,2860.26,1.04,16.94,946.89,48.21,105.62,3837.97,2.02,2.19,941.1,-37.31,146.46,3780.58,2.18,21.38,941.29,43.34,141.79,3783.77,1.85,21.04,1057.92,45.81,94.39,2764.6,2.7,21.08,1052.92,No
5.91,1390.19,11.16,45.97,99.73,2660.88,0.62,18.67,1056.24,44.5,175.69,2037.27,0.06,27.47,1052.82,48.18,110.14,2286.39,3.08,46.06,944.22,-37.72,136.21,2444.3,0.16,16.57,1052.57,48.32,174.93,2955.29,0.36,1.1,941.34,No
21.07,2420.6,38.68,28.87,79.47,927.56,6.61,72.45,1012.43,31.71,1.08,920.72,5.29,51.57,1034.29,14.19,67.75,1493.09,7.76,53.84,1021.43,38.45,77.69,983.16,6.01,99.17,953.86,8.99,89.75,972.94,7.44,85.27,1045.78,Yes
1.7,972.01,18.85,-38.59,119.95,2660.93,0.1,48.17,1051.49,49.14,115.1,2277.66,0.98,31.72,1053.68,48.45,142.16,3893.44,2.64,18.35,1056.41,-36.14,174.14,2713.17,1.78,25.88,944.62,-33.66,163.1,2234.22,2.39,17.71,1058.08,No
20.11,2974.44,27.47,-14.21,65.42,252.45,4.17,53.11,995.04,19.04,45.36,1747.22,7.35,89.02,966.64,16.29,19.33,456.32,4.35,63.63,1042.12,39.81,7.1,596.94,6.01,96.02,1023.14,32.5,63.07,859.06,6.17,98.57,971.63,Yes
3.2,1028.38,6.43,-39.96,144.03,3462.23,3.26,14.47,941.26,46.26,123.33,3671.84,2.11,9.21,1051.7,43.72,142.71,2021.44,1.46,28,947.04,46.74,118.93,3438.47,0.35,3.69,1059.36,-38.11,95.86,3497.22,0.35,33.89,1056.67,No
9.32,1222.58,12.72,43.97,172.42,2534.63,2.28,25.61,1051.82,49.34,94.69,2614.13,2.05,30.26,1056.53,-36.77,114.72,2210.46,0.6,26.84,945.88,-32.24,91.67,3893.34,3.38,32.69,947.88,-39.77,130.86,2806.64,2.75,18.88,941.48,No
0.04,1404.91,8.66,-31.6,172.62,2797.59,2.83,26.78,1059.55,48.09,157.93,2068.85,2.97,40.37,1057.04,47.64,149.93,2031.54,3.26,31.45,945.63,-32.71,171.04,3846.57,1.23,22.5,944.94,49.04,113.71,3475.03,1.51,11.02,948.23,No
14.23,368.27,7.22,43.28,115.71,3558.58,0.73,15.11,944.23,42.89,103.22,2991.71,3.4,3.18,1055.23,41.52,145.65,2049.17,2.11,32.35,1056.13,42.88,126.64,2473.12,1.76,13.96,1051.67,44.69,97.81,2129.36,1.47,42.5,948.21,No
17.05,2229.07,33.41,8.66,65.56,42.68,6.52,82.79,1025.69,25.61,68.78,1152.35,4.48,68.02,1015.79,-12.7,17.46,749.43,4.73,51.35,968.24,34.6,77.23,1088.55,7.75,87.15,955.68,21.91,11.44,581.94,7.01,96.76,1008.71,Yes
7.35,527.84,17.76,-38.47,116.41,3605.98,0.56,20.76,948.02,43.93,153.04,2242.25,1.2,37.52,945.11,-32.17,154.33,3742.35,1.13,19.5,1055.5,-38.32,129.99,3808.99,0.89,28.13,1055.98,48.47,151.83,2052.86,2.15,46.44,942.61,No
24.83,2824.31,21.33,-25.86,28.09,461.28,6.04,73.22,1041.75,38.13,40.9,1070.34,4.61,67,1002.87,37.19,66.66,1024.17,6.43,93.23,1005.91,-3.54,45.38,1668.92,4.17,99.12,1045.12,-23.3,35.81,1380.69,5.6,71.35,959.74,Yes
9.36,641.61,7.31,44.93,168.6,3029.12,2.15,6.91,1053.19,41.99,94.66,2859.69,2.63,4.61,1059.67,-35.45,159.01,3946.45,1.31,15.95,1054.89,-37.34,150.03,3502.02,1.28,9.94,945.36,-37.11,168.48,3772.79,2.82,44.49,947.86,No
9.63,956.26,13.95,48.46,160.47,3788.08,1.67,14.65,1053.41,41.34,120.39,3238.44,2.42,31.29,944.11,-34.91,112.73,2576.84,3.43,28.07,943.66,47.25,95.52,2013.62,1.74,36.95,944.55,41.53,176.21,2499.02,2.22,38.65,1056.84,No
26.28,2194.64,30.76,20.5,51.1,1587.86,4.88,80.87,957.02,-23.42,57.17,130.92,6.83,51.46,1018.19,-4.17,84.19,1939.18,5.91,66.19,1048.21,-29.28,40.78,1834.19,6.49,62.54,960.53,34.96,41.53,818.67,5.11,61.57,950.99,Yes
10.14,678.91,7.82,-34.29,161.17,3056.2,0.21,22.51,1051.53,-35.49,97.69,2556.43,0.9,7.9,946.54,48.75,127.65,3440.29,0.1,19.33,944.87,-35.13,147.25,3168.13,1.29,26.02,1055.28,-35.37,133.11,3650.21,0.3,7.25,1056.13,No
9.08,88.99,4.97,-31.49,147.64,2511.72,2.35,38.81,1056.98,44.06,111.7,2988.61,2.46,20.52,945.21,48.9,106.47,3005.13,0.81,24.7,948.36,-35.75,98.28,2278.73,2.59,17.27,943.79,-39.86,135.15,2399.47,0.75,45.19,940.21,No
17.58,1709.16,39.17,-1.86,74.44,1166.13,6.66,74.92,1012.26,12.3,21.33,681.13,7.94,99.04,965.08,-4.41,89.16,965.46,5.23,72.07,1042.21,21.24,48.02,1118.16,7.07,70.71,1002.2,-23.21,77.61,1711.74,7.56,73.91,996.41,Yes
25.56,2970.24,37.77,-3.72,4.9,442.67,5.58,60.14,989.9,-18.48,40.31,507.04,7.22,75.87,1019.12,31.92,73.42,500.89,4.7,66.26,953.96,39.73,25.56,1464.03,5.31,76.13,997.54,39.93,30.67,157.13,4.78,98.73,1035.94,Yes
5.33,922.11,6.41,44.13,100.34,3923.2,0.35,38.72,1055.57,-38.76,164.58,2828.28,0.34,26.61,948.13,-35.72,103.23,2528.33,1.99,27.74,1057.85,45.15,124.31,3049.83,0.06,9.17,946.79,-35.38,91.49,2530.78,0.68,39.24,941.18,No
15.09,2633.72,20.95,35.05,77.86,1489.14,7.76,57.84,998.57,31.24,78.12,669.73,7.31,94.04,999.07,13.78,26.23,1603.13,4.48,65.92,1039.54,17.95,55.71,1860.79,4.07,92.8,1003.08,-16.75,61.09,1436.95,5.1,61.08,967.17,Yes
19.27,2689.83,29.87,36.74,16.68,1727.41,5.22,89.36,1047.18,-4.9,41.15,1737.86,7.53,54.31,977.95,24.94,77.72,905.14,6.27,80.94,1029.57,37.42,29.04,1239.82,7.2,70.51,1007.09,-21.96,65.4,995.77,4.49,70.86,967.72,Yes
4.92,1317.64,1.76,48.4,93.35,2567.28,2.14,36.54,1051.5,44.8,133.48,3743.56,3.16,4.01,1051.96,-36.65,170.12,2879.79,0.37,4.17,1051.99,49.32,175.99,3883.57,0.52,43.49,947.22,-32.17,110.91,3272.6,2.52,40.33,1053.1,No
17.53,2041.98,36.36,-7.8,2.65,921.51,6.53,78.35,1002.78,-26.38,25.92,266.07,7.12,78.21,968.06,-16.79,45.66,1905.25,5.58,62.38,1022.12,-21.61,23.25,131.25,5.09,72.61,985.82,11.67,46.79,1517.14,5.45,94.82,999.84,Yes
19.37,2952.79,20.39,17.85,36.8,1221.56,4.86,61.57,963.26,-26.01,32.48,1681.15,5.73,83.3,1009.45,9.6,52.49,1960.2,7.57,56.47,1028.76,-15.02,65.95,421.02,7.09,69.62,953.16,-14.98,31.11,1226.66,7.88,89.53,1011.56,Yes
4.96,242.92,0.02,-37.2,101.22,2539.54,3.23,44.75,1058.72,49.56,117.34,2598.81,0.17,49.34,948.16,-38.04,160.92,2178.48,2.77,3.63,1054.06,-37.87,160.01,3626.29,2.61,9.9,943.99,45.22,117.34,3263.97,3.3,37.81,940.13,No
10.01,365.88,11.42,43.23,171.2,3643.09,1.88,46.29,1054.71,-37.23,136.55,2816.23,2.13,20.58,948.5,42.42,129.2,3508.87,2.18,10.07,944.99,-32.98,156.17,3587.3,1.54,33.26,941.58,-32.22,157.46,3851.83,2.94,2.52,942.6,No
5.18,578.7,12.28,42.8,120.48,2700.76,3.35,18.77,1055.04,42.87,108.31,3705.69,2.11,4.26,941.02,-35.64,101.82,3534.68,2.73,9.3,943.99,-37.93,179.01,2183.05,0.56,40.64,1056.4,49.18,151.27,3661.52,1.01,47.76,948.14,No
3.51,1100.05,6.15,41.52,118.61,3862.17,1.01,30.65,1051.02,-38.01,149.21,2963.69,0.17,6.26,946.14,-35.54,179.38,2555.38,0.1,3.06,1054.4,-32.95,124.04,2047.23,1.54,44.06,1059.5,42.95,171.1,2462.49,3.43,14.76,940.44,No
1.58,117.44,7.89,-33.25,119.81,3994.71,1.25,19.63,1051.95,-36.29,141.06,2070.3,1.79,34.36,942.82,46.93,122.25,3095.37,1.38,47,946.74,-32.88,111.05,3775.9,3.45,42.48,1058.54,44.05,126.29,3581.12,2.46,13.7,1059.47,No
24.93,2618.89,21.73,33.81,57.9,1406.94,4.66,78.8,968.2,-25.2,14.29,417.44,5.18,83.8,966.31,29.4,29.43,415.79,5.22,85.95,1023.03,-21.39,8.48,1017.45,5.53,65.15,997.64,-1.69,35,45.84,5.19,60.08,1003.71,Yes
29.57,2948.22,30.36,35.75,2.92,1631.85,5.85,58.99,955.74,10.88,9.57,5.94,6.97,84.69,960.95,-4.34,51.51,1805.99,5.6,69.9,1006.88,11.09,9.64,1522.36,5.81,75.05,972.87,-15.37,5.56,672.28,5.28,77.48,964.42,Yes
1,1037.05,6.91,49.38,133.15,2380.17,2.05,45.13,948.6,47.31,118.25,2956.61,1.17,49.07,1052.53,42.33,178.7,2901.98,1.04,48.44,943.34,-34.07,126.47,2273.18,1.57,11.54,943.51,49.02,174.45,2697.68,0.37,19.15,947.71,No
11.09,463.63,3.14,42.58,92.57,3052.84,3.47,22.44,1052.16,42.19,162.13,2425.78,1.54,23.76,948.49,-33.28,143.43,2321.51,1.09,11.06,944.32,47.02,139.92,2940.02,3.37,25.74,943.69,42.61,156.17,3712.96,0.95,5.66,1058.35,No
